Character_name,Line
,
Flat,하아.. 감사합니다..! @리듬 클럭의 폭주가 멈췄어요.
Flat,어째서 이런 일이 일어난거지.. 왕께 보고하러 가야겠군요.
Flat,저 분은..? @전하께서 오셨습니다. 무슨 일이신거죠?
King,…
Flat,전하?
King,Flat.. 그리고 이세계의 용사여 미안하군..
King,리듬 클럭의 폭주를 일으킨 건 바로 나였네. @그건 내가 만든 물건이니까 나밖에 건드릴 수 없지.
Flat,!! 어째서 그런 짓을..
King,….............
King,사실 난 리듬에 맞춰서 모든 일을 하는 우리의 관습이 싫었어.
King,난 어릴때부터 여러 리듬들을 익혀왔어야 했네. 
King,"밥을 먹을 때, 춤을 출 때, 잠을 잘 때 그리고 다른 귀족의 집을 방문할 때는 그 가문의 전통 리듬을 익혀야만 했지."
King,그거 아나? 서쪽의 왕국은 밥을 먹을 때 랩을 틀어놓고 먹는다네.
King,난 왕족의 품위를 지키기 위해 음식의 맛을 제대로 느끼지도 못하고 리듬에 맞게 행동해야했지.
King,그런 일에 이골이 난거야. @백성들을 위해 리듬 클럭을 개발했지만 내 마음 한편으로는 늘 불편했지.
King,그러던 중 Flat 자네가 이세계의 용사를 불렀다는 소식을 들었다네. 
King,이세계의 용사가 사람들을 돕는다면 우리는 더더욱 이 관습을 버릴 수가 없게되겠지.
King,그래서 리듬 클럭을 폭주시켜서 용사가 포기하고 자신의 세계로 돌아가길 바랬다네.
King,정말 미안하군.
Flat,그런..
King,하지만 다른 세계에 와서도 남을 묵묵히 돕는 자네를 보며 깨달았어.
King,물론 한번에 관습을 바꿀 순 없겠지.
King,난 자네를 떠올리며 내가 앉은 자리에서 백성들을 위해 할 수 있는 일들을 하나씩 해나가겠네.
Flat,전하.. 그런 생각을 하고 계신 줄은 몰랐군요.
Flat,저는 언제나 전하의 편입니다. @전하를 도와 백성들을 도우며 더 나은 나라를 만들기 위해 노력하겠습니다.
King,"고맙군 Flat. @그리고 용사여, 자네에겐 무한한 감사를 해도 모자라."
King,이제 자네가 살던 세계로 돌아가도 좋네. @그래도 가끔 우리가 생각나면 다시 돌와아주게나.
Flat,맞아요. 아직 당신의 도움을 필요로 하는 사람들이 더 있을지도 모르니까요.
King,우린 언제나 자네를 환영할걸세. @그럼 또 만나는 날이 오길 바라군.
King,그대의 노력에 매우 감사함을 표하지.
Flat,저도 감사했습니다. 용사님. @당신의 이름을 널리널리 알리도록 하겠습니다.
Flat,지금까지 수고 많으셨습니다!
