Character_name,Line
,
Flat,용사님!
Flat,당신 덕분에 리듬 소외 계층들이 도움을 많이 받고 있어요.
Flat,정말 감사합니다. 
Flat,역시 당신과 우리 왕께서 만드신 리듬 클럭만 있다면 안될게 없군요.
Flat,리듬 클럭에는 많이 익숙해지셨나요?
Flat,제가 한번 테스트해보고 싶군요. 
Flat,이번에 북부지역의 몬스터를 처리하는 업무를 받게 되었는데 리듬 클럭으로 절 도와주시기 바랍니다.
Flat,..?
Flat,잠깐만요. 리듬 클럭의 상태가 이상한데요?
Flat,뭔가 결함이 생긴거 같습니다. 리듬 클럭이 폭주하기 시작했어요!
Flat,이건 우리 왕께서 발명하신 겁니다. @다른 사람들은 건드릴 수 없을텐데..
Flat,어떻게 이런 일이… 용사님 일단 리듬 클럭을 이용해서 저를 도와주세요!
Flat,이 폭주는..
Flat,리듬 클럭이 이리저리 흔들릴 것 같습니다. @당신의 집중력을 많이 요구할거 같군요.
Flat,하지만 명심하세요.
Flat,리듬 클럭이 아무리 움직여도 상관이 없습니다. 
Flat,당신을 믿으세요. 박자에 맞춰서 들은 대로만 하면 되는겁니다.
Flat,자 한시가 급하군요. 빨리 출발하시죠!
