Character_name,Line
 , 
Flat,…
Flat,일어나세요. 용사여…
Player,… @여긴 어디지..?
Flat,여기는 리듬의 세계.@당신이 살던 지구와는 다른 세계입니다.
Flat,제가 당신을 불렀습니다.
Player,어째서죠?
Flat,당신이 뛰어난 리듬감을 갖고 있다는 것을 알았습니다.@지구에서는 별로 쓸모 없는 능력일지 몰라도 여기선 다르죠.
Flat,여기는 리듬의 세계. @저희는 모든 일을 리듬을 타면서 합니다.
Flat,일을 할 때도 밥 먹을 때도 심지어 ㄸ
Player,알겠어요.
Flat,…. 
Flat,어쨌든 이런 세계에서도 리듬을 타지 못해서 일상 생활조차 되지 않는 분들이 있답니다.
Flat,그런 분들을 우리는 '리듬 소외 계층'이라고 부르죠.
Flat,당신을 부른 이유는 그분들을 위해서입니다.
Flat,우리 위대하신 왕 '솔라시 파미레도'님은 리듬 소외 계층을 돕기 위해서 이 마법의 도구 '리듬 클럭'을 제작하셨죠!
Flat,"자 그럼, 리듬 클럭의 사용법을 알려드리겠습니다."
Flat,"기본적으로 클럭의 빨간 부분에서 나오는 박자를, 파란 부분에서 스페이스바를 눌러서 따라치시면 됩니다."
Flat,박자는 정박 엇박 무엇이든 나올 수 있답니다. 유의해주세요.
Flat,일반 노트(노란색 노트)에서는 스페이스바를 한번 눌러주세요.
Flat,더블 노트(빨간색 노트)에서는 스페이스바를 빠르게 두번 눌러주세요.
Flat,홀드 노트(파란색 노트)에서는 처음 시작할 때 스페이스바를 눌러서 연결된 곳까지 누른채로 유지해주세요.
Flat,당신의 뛰어난 리듬감 그리고 이 마법의 리듬 클럭을 이용해서 리듬 소외 계층을 도와주세요!
Flat,자 먼저 당신과 리듬 클럭의 싱크를 연결해볼까요?
