Timing,Position,Kinds,BPM,Width,RotateSpeed,TeleportX,TeleportY,TargetX,TargetY,SetScaleX,SetScaleY,ScaleX,ScaleY
2,0.5,0,120,2,,,,,,,,,
2,1.5,0,,3,,,,,,,,,
2,2.5,0,,3,,,,,,,,,
2,3.5,0,,2,,,,,,,,,
,,,,,,,,,,,,,
3,0.5,0,120,3,,,,,,,,,
3,1.5,0,,2,,,,,,,,,
3,2.5,0,,2,,,,,,,,,
3,3.5,0,,3,,,,,,,,,
,,,,,,,,,,,,,
4,0.25,0,60,3,,,,,,,,,
4,1.25,1,,1,,,,,,,,,
4,2.25,0,,3.5,,,,,,,,,
4,3.25,1,,2,,,,,,,,,
,,,,,,,,,,,,,
5,0.25,0,120,1,,,,,,,,,
5,0.75,0,,1,,,,,,,,,
5,1.75,0,,1,,,,,,,,,
5,2.75,0,,1,,,,,,,,,
5,3.25,0,,1,,,,,,,,,
5,3.75,0,,1,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
6,0.25,0,120,1,,,,,,,,,
6,0.75,0,,2,,,,,,,,,
6,1.75,0,,2,,,,,,,,,
6,2.75,0,,3,,,,,,,,,
6,3.25,0,,3.5,,,,,,,,,
6,3.75,0,,3,,,,,,,,,
,,,,,,,,,,,,,
7,0.25,0,60,1,,,,,,,,,
7,1.25,1,,3,,,,,,,,,
7,2.25,0,,2,,,,,,,,,
7,3.25,1,,1,,,,,,,,,
,,,,,,,,,,,,,
8,0.25,0,120,3,,,,,,,,,
8,0.75,0,,2,,,,,,,,,
8,1.75,0,,1,,,,,,,,,
8,2.75,0,,1,,,,,,,,,
8,3.25,0,,2,,,,,,,,,
8,3.75,0,,3,,,,,,,,,
,,,,,,,,,,,,,
9,0.25,0,120,2,,,,,,,,,
9,0.75,0,,2,,,,,,,,,
9,1.75,2,,3,,,,,,,,,
9,3.25,3,,3,,,,,,,,,
9,3.75,0,,1,,,,,,,,,
,,,,,,,,,,,,,
10,0.25,0,120,1,,,,,,,,,
10,0.75,0,,3,,,,,,,,,
10,1.75,2,,3,,,,,,,,,
10,3.25,3,,3,,,,,,,,,
10,3.75,0,,2,,,,,,,,,
,,,,,,,,,,,,,
11,0.75,0,240,1,,,,,,,,,
11,1.75,0,,1,,,,,,,,,
11,2.75,0,,1,,,,,,,,,
11,3.75,0,,1,,,,,,,,,
,,,,,,,,,,,,,
12,0.75,0,240,2,,,,,,,,,
12,1.75,0,,3,,,,,,,,,
12,2.75,0,,2,,,,,,,,,
12,3.75,0,,3,,,,,,,,,
,,,,,,,,,,,,,
13,0.25,0,120,1,,,,,,,,,
13,0.75,0,,2,,,,,,,,,
13,1.75,0,,3,,,,,,,,,
13,3.25,0,,2,,,,,,,,,
13,3.5,0,,2,,,,,,,,,
13,3.75,0,,2,,,,,,,,,
14,0.25,0,120,2,,,,,,,,,
14,0.75,0,,3,,,,,,,,,
14,1.75,0,,2,,,,,,,,,
14,3.25,0,,1,,,,,,,,,
14,3.5,0,,1,,,,,,,,,
14,3.75,0,,1,,,,,,,,,
15,0.25,0,60,1,,,,,,,,,
15,1.25,1,,3,,,,,,,,,
15,2.25,0,,2,,,,,,,,,
15,3.25,1,,1,,,,,,,,,
,,,,,,,,,,,,,
16,0.25,0,120,2,,,,,,,,,
16,0.75,0,,2,,,,,,,,,
16,1.75,2,,3,,,,,,,,,
16,3.25,3,,3,,,,,,,,,
16,3.75,0,,1,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
17,0.75,0,240,2,,,,,,,,,
17,1.75,0,,1,,,,,,,,,
17,2.75,0,,2,,,,,,,,,
17,3.75,0,,3,,,,,,,,,
,,,,,,,,,,,,,
18,0.75,2,240,2,,,,,,,,,
18,3.75,3,,2,,,,,,,,,
,,,,,,,,,,,,,
19,0.75,1,240,1,,,,,,,,,
19,2.25,1,,1,,,,,,,,,
19,3.75,0,,1,,,,,,,,,
,,,,,,,,,,,,,
20,0.75,1,240,1,,,,,,,,,
20,2.25,1,,2,,,,,,,,,
20,3.75,0,,3,,,,,,,,,
,,,,,,,,,,,,,
21,0.75,1,240,3,,,,,,,,,
21,2.25,1,,2,,,,,,,,,
21,3.75,0,,1,,,,,,,,,
,,,,,,,,,,,,,
22,0.75,1,240,2,,,,,,,,,
22,2.25,1,,3,,,,,,,,,
22,3.75,0,,2,,,,,,,,,
,,,,,,,,,,,,,
23,0.25,0,60,2,,,,,,,,,
23,1.25,1,,1,,,,,,,,,
23,2.25,0,,3,,,,,,,,,
23,3.25,1,,1,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
24,0.25,2,60,3,,,,,,,,,
24,1.75,3,,3,,,,,,,,,
24,2.25,2,,3,,,,,,,,,
24,3.75,3,,3,,,,,,,,,
,,,,,,,,,,,,,
25,0.25,0,60,1,,,,,,,,,
25,2.25,0,,1,,,,,,,,,
,,,,,,,,,,,,,
26,0.25,0,60,2,,,,,,,,,
26,2.25,0,,2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
27,0.25,0,60,3,,,,,,,,,
27,2.25,0,,3,,,,,,,,,
,,,,,,,,,,,,,
28,0.25,0,120,1,,,,,,,,,
28,1.25,0,,1,,,,,,,,,
28,2.25,0,,1,,,,,,,,,
28,3.25,0,,1,,,,,,,,,
,,,,,,,,,,,,,
29,0.75,1,240,1,,,,,,,,,
29,2.25,1,,1,,,,,,,,,
29,3.75,0,,1,,,,,,,,,
,,,,,,,,,,,,,
30,0.75,1,240,2,,,,,,,,,
30,2.25,1,,3,,,,,,,,,
30,3.75,0,,1,,,,,,,,,
,,,,,,,,,,,,,
31,0.25,0,120,3,,,,,,,,,
31,1.25,0,,3,,,,,,,,,
31,2.25,0,,1,,,,,,,,,
31,3.25,0,,1,,,,,,,,,
,,,,,,,,,,,,,
32,0.75,2,240,1,,,,,,,,,
32,2.25,3,,1,,,,,,,,,
32,3.75,0,,3,,,,,,,,,
,,,,,,,,,,,,,
33,0.75,2,240,3,,,,,,,,,
33,2.25,3,,3,,,,,,,,,
33,3.75,0,,2,,,,,,,,,
,,,,,,,,,,,,,
34,0.25,0,120,2,,,,,,,,,
34,1.25,0,,3.5,,,,,,,,,
34,2.25,0,,3,,,,,,,,,
34,3.25,0,,2,,,,,,,,,
,,,,,,,,,,,,,
35,0.75,1,240,1,,,,,,,,,
35,2.25,1,,2,,,,,,,,,
35,3.75,0,,3,,,,,,,,,
,,,,,,,,,,,,,
36,0.75,1,240,3,,,,,,,,,
36,2.25,1,,3,,,,,,,,,
36,3.75,0,,1,,,,,,,,,
,,,,,,,,,,,,,
37,0.25,0,120,2,,,,,,,,,
37,1.25,0,,3,,,,,,,,,
37,2.25,0,,2,,,,,,,,,
37,3.25,0,,3,,,,,,,,,
,,,,,,,,,,,,,
38,0.75,2,240,1,,,,,,,,,
38,2.25,3,,1,,,,,,,,,
38,3.75,0,,3,,,,,,,,,
,,,,,,,,,,,,,
39,0.75,2,240,2,,,,,,,,,
39,2.25,3,,2,,,,,,,,,
39,3.75,0,,1,,,,,,,,,
,,,,,,,,,,,,,
40,0.25,2,60,2,,,,,,,,,
40,1.75,3,,2,,,,,,,,,
40,2.25,2,,2,,,,,,,,,
40,3.75,3,,2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
41,0.75,0,240,3,,,,,,,,,
41,1.75,0,,3,,,,,,,,,
