Character_name,Line
Flat,…
Flat,일어나세요 용사여..
Player,.. 여긴 어디지..?
Flat,여기는 리듬의 세계.@당신이 살던 지구와는 다른 세계입니다.
Flat,제가 당신을 불렀습니다.
Player,..? 어째서죠?
Flat,당신이 뛰어난 리듬감을 갖고 있다는 것을 알았습니다.@지구에서는 별로 쓸모 없는 능력일지 몰라도 여기선 다르죠.
Flat,여기는 리듬의 세계…@저희는 모든 일을 리듬을 타면서 합니다.@일을 할 때도 밥 먹을 때도 심지어 ㄸ..
Player,알겠어요.
Flat,..큼 어쨌든 이런 세계에서도 리듬을 타지 못해서 일상 생활조차 되지 않는 분들이 있답니다.
Flat,그런 분들을 우리는 '리듬 소외 계층'이라고 부르죠.
Player,(그냥 리듬을 안타면 되는 거잖아.)
Flat,당신을 부른 이유는 그분들을 위해서입니다.@우리 위대하신 왕 '솔라시 파미레도'님은 리듬 소외 계층을 돕기 위해서 이 마법의 도구 '리듬 클럭'을 제작하셨죠!
Flat,리듬 클럭은 예시(빨간 부분)에 나오는 리듬을 따라서 파란 부분에서 따라하시면 됩니다.@리듬 클럭의 마법의 힘은 사람들을 도울 수 있어요.
Flat,당신의 뛰어난 리듬감 그리고 이 마법의 리듬 클럭을 이용해서 리듬 소외 계층을 도와주세요!
Flat,일단 당신과 리듬클럭의 싱크를 연결하겠습니다.
